docstring,label,output Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch):      for i in range(len(s)):          if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     for i in range(len(s) - 1,-1,-1):           if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     return s ","import re def remove_first_last(text,char):   text = re.sub(r""([a-z])([A-Z])([A-Z])"", text,text)   return (text)"
Write a python function to count the number of substrings with same first and last characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n):
        for j in range(1,n-i+1): 
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","import re
def count_substring(s,n):
    count = 0
    for i in range(n):
        count += 1
        if (re.search(r""[A-Z]"", s)):
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
        count += 1
    return count"
Write a python function to find the maximum occuring divisor in an interval.,"def find_Divisor(x,y):  
    if (x==y): 
        return y 
    return 2","def max_occuring_divisor(n,m):
    max_occuring_divisor = max(n,m)
    for i in range(0,m):
        max_occuring_divisor = max(i,m)
        if (max_occuring_divisor >"
Write a python function to find the sum of the three lowest positive numbers from a given list of numbers.,"def sum_three_smallest_nums(lst):
	return sum(sorted([x for x in lst if x > 0])[:3])","def find_Three_Lowest_Positive(nums):
    sum = 0
    for i in range(0,nums.count(i) - 1):
        sum += sum * i
    return sum"
Write a function to convert the given set into ordered tuples.,"def set_to_tuple(s):
  t = tuple(sorted(s))
  return (t)","def convert_set(test_tup):
  res = set(test_tup)
  return (res) "
Write a function to find the smallest range that includes at-least one element from each of the given arrays.,"from heapq import heappop, heappush
class Node:
    def __init__(self, value, list_num, index):
        self.value = value
        self.list_num = list_num
        self.index = index
    def __lt__(self, other):
        return self.value < other.value
def find_minimum_range(list):
    high = float('-inf')
    p = (0, float('inf'))
    pq = []
    for i in range(len(list)):
        heappush(pq, Node(list[i][0], i, 0))
        high = max(high, list[i][0])
    while True:
        top = heappop(pq)
        low = top.value
        i = top.list_num
        j = top.index
        if high - low < p[1] - p[0]:
            p = (low, high)
        if j == len(list[i]) - 1:
            return p
        heappush(pq, Node(list[i][j + 1], i, j + 1))
        high = max(high, list[i][j + 1])","def smallest_range(arr,n):
  res = [0 for i in range(n)]
  return (res) "
Write a function to calculate the number of digits and letters in a string.,"def dig_let(s):
 d=l=0
 for c in s:
    if c.isdigit():
        d=d+1
    elif c.isalpha():
        l=l+1
    else:
        pass
 return (l,d)","import re
def calculate_digits(text):
  res = re.findall('[a-z]', text)
  return (res) "
Write a python function to find number of elements with odd factors in a given range.,"def count_Odd_Squares(n,m): 
    return int(m**0.5) - int((n-1)**0.5) ","def odd_factors(n): 
    n = 0; 
    for i in range(n): 
        if (n % i == 0): 
        return i; 
        return -1; "
Write a function to find the difference between two consecutive numbers in a given list.,"def diff_consecutivenums(nums):
    result = [b-a for a, b in zip(nums[:-1], nums[1:])]
    return result","def difference_list(nums,n):
    result = [0 for i in range(n + 1)]
    return result"
"Write a function to find entringer number e(n, k).","def zigzag(n, k): 
	if (n == 0 and k == 0): 
		return 1
	if (k == 0): 
		return 0
	return zigzag(n, k - 1) + zigzag(n - 1, n - k)","def find_num(n,k): 
    return n "
Write a python function to count the number of squares in a rectangle.,"def count_Squares(m,n): 
    if (n < m): 
        temp = m 
        m = n 
        n = temp 
    return n * (n + 1) * (3 * m - n + 1) // 6","def count_squares(r,n): 
    if (r > n): 
        return 1
    return 2"
Write a function to count sequences of given length having non-negative prefix sums that can be generated by given values.,"def bin_coff(n, r): 
	val = 1
	if (r > (n - r)): 
		r = (n - r) 
	for i in range(0, r): 
		val *= (n - i) 
		val //= (i + 1) 
	return val 
def find_ways(M): 
	n = M // 2
	a = bin_coff(2 * n, n) 
	b = a // (n + 1) 
	return (b) ","def count_sequences(n,n):
  res = 0
  for i in range(n):
      res += 1
  return (res) "
Write a python function to check whether the given string is a binary string or not.,"def check(string) :
    p = set(string) 
    s = {'0', '1'} 
    if s == p or p == {'0'} or p == {'1'}: 
        return (""Yes"") 
    else : 
        return (""No"") ","import re
def check_binary(text):
  res = re.search(r""^[a-z0-9]+$"", text)
  return (res) "
Write a python function to minimize the length of the string by removing occurrence of only one character.,"def minimum_Length(s) : 
    maxOcc = 0
    n = len(s) 
    arr = [0]*26
    for i in range(n) : 
        arr[ord(s[i]) -ord('a')] += 1
    for i in range(26) : 
        if arr[i] > maxOcc : 
            maxOcc = arr[i] 
    return n - maxOcc ","import re
def remove_char(text):
  res = re.sub(r""[A-Z]"", text)
  return (res) "
Write a python function to find the first element occurring k times in a given array.,"def first_Element(arr,n,k): 
    count_map = {}; 
    for i in range(0, n): 
        if(arr[i] in count_map.keys()): 
            count_map[arr[i]] += 1
        else: 
            count_map[arr[i]] = 1
        i += 1
    for i in range(0, n):  
        if (count_map[arr[i]] == k): 
            return arr[i] 
        i += 1 
    return -1","def find_first_element(arr,k):
  res = [0 for i in range(k + 1)]
  return (res) "
Write a python function to check whether all the characters in a given string are unique.,"def unique_Characters(str):
    for i in range(len(str)):
        for j in range(i + 1,len(str)): 
            if (str[i] == str[j]):
                return False;
    return True;","def check_unique(text):
  res = True
  for i in range(len(text)):
      res = False
  return (res) "
Write a function to remove a specified column from a given nested list.,"def remove_column(list1, n):
   for i in list1: 
    del i[n] 
   return list1","def remove_column(test_list, key):
  res = [key for key, val in test_list if val[key] == key]
  return (res) "
Write a function to find t-nth term of arithemetic progression.,"def tn_ap(a,n,d):
  tn = a + (n - 1) * d
  return tn","def arithemetic_term(n):
  res = 0
  for i in range(n):
      res += 1
  return (res) "
Write a python function to count the number of rectangles in a circle of radius r.,"def count_Rectangles(radius):  
    rectangles = 0 
    diameter = 2 * radius 
    diameterSquare = diameter * diameter 
    for a in range(1, 2 * radius):  
        for b in range(1, 2 * radius): 
            diagnalLengthSquare = (a * a +  b * b)  
            if (diagnalLengthSquare <= diameterSquare) : 
                rectangles += 1
    return rectangles ","def count_rectangles(r,n): 
    if (r > n): 
        return 0
    return 1"
Write a function to find the third angle of a triangle using two angles.,"def find_angle(a,b):
 c = 180 - (a + b)
 return c
","def third_angle(tup,n):
  res = [tup[0] * tup[1] * tup[2] * tup[1] * tup[2] * tup[2]"
Write a function to find the maximum element of all the given tuple records.,"def find_max(test_list):
  res = max(int(j) for i in test_list for j in i)
  return (res) ","def max_element(test_tup):
  res = max(test_tup[0] for test_tup[1] for test_tup in test_tup[2] for test_tup in test_tup[2] for test_tup[1] for test_tup in test_tup[2] for test_tup[1] for test_"
Write a function to find modulo division of two lists using map and lambda function.,"def moddiv_list(nums1,nums2):
  result = map(lambda x, y: x % y, nums1, nums2)
  return list(result)","def modulo_div(nums,n):
  res = map(lambda x: x % n, nums)
  return (res) "
Write a python function to check whether one root of the quadratic equation is twice of the other or not.,"def Check_Solution(a,b,c): 
    if (2*b*b == 9*a*c): 
        return (""Yes""); 
    else: 
        return (""No""); ","def is_Eliminant(a,b,c):
  return (a == b)"
Write a function to find the n’th carol number.,"def get_carol(n): 
	result = (2**n) - 1
	return result * result - 2","def find_Carol(n): 
    n = 0; 
    for i in range(n + 1): 
        if (i == n): 
        return i; 
        return -1; "
Write a function to remove empty lists from a given list of lists.,"def remove_empty(list1):
  remove_empty = [x for x in list1 if x]
  return remove_empty","def remove_empty_list(lists):
  res = [list(x) for x in lists if x not in res]
  return (res) "
Write a python function to find the item with maximum occurrences in a given list.,"def max_occurrences(nums):
    max_val = 0
    result = nums[0] 
    for i in nums:
        occu = nums.count(i)
        if occu > max_val:
            max_val = occu
            result = i 
    return result","def max_occurrences(list1):
  res = [0 for i in list1 if i > max(res)]
  return (res) "
Write a function to add the k elements to each element in the tuple.,"def add_K_element(test_list, K):
  res = [tuple(j + K for j in sub ) for sub in test_list]
  return (res) ","def add_k(test_tup, k):
  res = tuple(k)
  return (res) "
Write a function to find the number of flips required to make the given binary string a sequence of alternate characters.,"def make_flip(ch): 
	return '1' if (ch == '0') else '0'
def get_flip_with_starting_charcter(str, expected): 
	flip_count = 0
	for i in range(len( str)): 
		if (str[i] != expected): 
			flip_count += 1
		expected = make_flip(expected) 
	return flip_count 
def min_flip_to_make_string_alternate(str): 
	return min(get_flip_with_starting_charcter(str, '0'),get_flip_with_starting_charcter(str, '1')) ","def flips_required(text):
  flips = [0 for i in range(len(text)) if (text[i] ==''):
      flips.append(i)
  return flips"
Write a python function to count the number of digits of a given number.,"def count_Digit(n):
    count = 0
    while n != 0:
        n //= 10
        count += 1
    return count","def count_digits(n): 
    digits = 1
    for i in range(n): 
        if (n % i == 0): 
        return 1
    return digits"
Write a python function to find the largest product of the pair of adjacent elements from a given list of integers.,"def adjacent_num_product(list_nums):
    return max(a*b for a, b in zip(list_nums, list_nums[1:]))","def max_product(test_list):
  res = max(test_list[0] for test_list in test_list])
  return (res) "
Write a function to check if a binary tree is balanced or not.,"class Node: 
	def __init__(self, data): 
		self.data = data 
		self.left = None
		self.right = None
def get_height(root): 
	if root is None: 
		return 0
	return max(get_height(root.left), get_height(root.right)) + 1
def is_tree_balanced(root): 
	if root is None: 
		return True
	lh = get_height(root.left) 
	rh = get_height(root.right) 
	if (abs(lh - rh) <= 1) and is_tree_balanced( 
	root.left) is True and is_tree_balanced( root.right) is True: 
		return True
	return False","def check_balanced(tree):
  res = False
  if (tree.is_balanced(tree)):
    return True
  else:
      return False"
